1. ORT, 9.8
392. Ринго, 3.0
#Touhou - Лунный кролик, обладающий хорошими физическими характеристиками и способностью усиливать себя поеданием данго. Также является весьма компетентным солдатом.
393. Сейран, 3.1
#Touhou - Лунный кролик-разведчик. Обладает отличной меткостью, военной подготовкой и способностью усиливать снаряды особыми энергетическими эффектами.
394. Йорихимэ Ватасуки, 7.8
#Touhou - Лунная принцесса, способная призывать силу множества богов синтоистского пантеона и использовать их способности. Благодаря этому обладает крайне разнообразным набором божественных техник.
395. Тойохимэ Ватасуки, 7.5
#Touhou - Старшая из сестёр Ватасуки. Обладает значительными магическими способностями и властью над границами между морем и горами, а также различными лунными искусствами.
396. Нэмуно Саката, 3.5
#Touhou - Горная ведьма, живущая вдали от цивилизации. Хорошо разбирается в выживании, травах, зельях и магии леса.
397. Аунн Комано, 3.3
#Touhou - Комаину-хранительница храмов. Обладает хорошими физическими способностями, умеет создавать защитные барьеры и отличается исключительной преданностью.
398. Наруми Ятадера, 3.8
#Touhou - Ожившая статуя дзидзо. Благодаря своей природе обладает высокой прочностью и значительными магическими способностями, связанными с защитой и духовной энергией.
399. Май Тэиреда, 4.5
#Touhou - Служанка Окины Матары. Обладает способностью управлять жизненной энергией через танец, усиливая союзников и ослабляя противников.
400. Сатоно Нисида, 4.5
#Touhou - Вторая служанка Окины Матары. Подобно Май, использует мистический танец для воздействия на духовную энергию окружающих, а также помогает раскрывать скрытый потенциал других существ.
401. Объект Контроля, 4.6
#Вы обладаете предметом — аксессуаром, инструментом или оружием, — который дарует определённую форму контроля. В зависимости от предмета он может позволять управлять телами, воздействовать на эмоции или подчинять разум. Неопытным владельцам может быть трудно раскрыть его полный потенциал, а сам предмет может быть нейтрализован или подавлен.
402. Космический Симбиоз, 7.0
#Космическая сущность выбрала вас своим носителем, связавшись с вашей душой и наделив невероятной силой. Ваши природные способности значительно усиливаются, а также вы получаете часть власти этой сущности. Однако есть риск: неопытные носители могут потерять контроль над собственным телом или даже полностью оказаться под властью симбионта.
403. Творящий Объект, 5.2
#Вы обладаете предметом — оружием, аксессуаром или инструментом, — наделённым силой созидания. Он способен создавать конструкции, усиливать ваши способности или служить сосудом для связанной с ним творящей сущности. Однако неопытным пользователям бывает трудно контролировать даруемую силу.
404. Союз С Ракообразным, 2.8
#Вы связаны священной связью с ракообразным спутником — крабом, омаром или похожим существом. Эта связь искренняя и крепкая, позволяющая общаться и обеспечивающая абсолютную верность. Однако смерть одного из партнёров тяжело отражается на другом.
405. Союз С Криптидом, 5.1
#Вы связаны священной связью с криптидом — бигфутом, чупакаброй, йети или ещё более странным существом. Ваша дружба усиливает вас обоих, даруя разнообразные сверхъестественные способности, связанные с природой криптида, а также надёжного союзника на все случаи жизни.
406. Союз С Рыцарем Смерти, 5.3
#Вы заключили священный союз с Рыцарем Смерти, который защищает вас и сражается рядом с вами. Вы оба черпаете силу из присутствия друг друга. Благодаря этой связи вы получаете доступ к способностям, которые ни один из вас не смог бы использовать в одиночку. Верность рыцаря абсолютна, хотя некоторые особенно гордые рыцари могут отказаться от подобного союза.
407. Союз С Божеством, 6.3
#Вы связаны священным и могущественным союзом с Божеством, которое любит вас, защищает и идёт рядом с вами. Эта связь дарует силу преодолевать трудности и позволяет использовать различные божественные способности, синхронизированные между вами. Однако не каждое божество согласится стать вашим союзником.
408. Союз С Демоном, 4.5
#Вы связаны священной связью с верным демоном, который сражается рядом с вами, защищает вас и черпает силу из вашей связи. Вы можете синхронизироваться друг с другом для получения общих способностей, а ваша связь становится крепче по мере развития дружбы.
409. Союз С Динозавром, 5.8
#Вы связаны священной связью с динозавром-партнёром, основанной на взаимной любви и защите. Вы усиливаете друг друга, синхронизируетесь в бою и получаете разнообразные общие способности, рождённые вашей дружбой. Однако особенно дикие и агрессивные динозавры могут отказаться от союза.
410. Союз С Доппельгангером, 4.2
#Вы связаны священной связью с доппельгангером — существом-перевёртышем, способным копировать любого, кого оно видело. Вы черпаете силу из присутствия друг друга, синхронизируете способности и защищаете друг друга. Ваш спутник способен выдавать себя за союзников, проникать во вражеские ряды и сражаться рядом с вами, становясь сильнее по мере укрепления вашей связи.
411. Союз С Драконом, 5.4
#Вы заключили священный союз с драконом, основанный на абсолютной верности и любви. Вы оба черпаете силу друг из друга. Ваш дракон сражается рядом с вами, защищает вас, а через вашу связь вы получаете различные драконьи способности, синхронизированные с его собственными.
412. Союз С Древней Сущностью, 6.6
#Вы заключили священную связь с древней потусторонней сущностью — космическим ужасом, само существование которого противоречит законам науки. Вы защищаете и усиливаете друг друга, а эта дружба (или нечто ещё более странное) может помочь предотвратить апокалипсис и подарить вам идеального телохранителя. Однако некоторые слишком чуждые или дикие сущности могут оказаться неспособны к подобной дружбе.
413. Союз С Эльфом, 4.8
#Вы связаны священной связью с эльфийским спутником — верным союзником, который сражается, живёт и защищает вас. Благодаря этой связи вы синхронизируетесь друг с другом и черпаете силу из врождённой магии эльфа. Чем крепче становится дружба, тем сильнее становитесь вы оба.
414. Эмоциональный Объект, 4.0
#Вы обладаете предметом, наполненным сущностью определённой эмоции. Пока вы владеете им, он предоставляет вам способности, основанные на этой эмоции. Сила предмета зависит от вашего эмоционального состояния, а потеря предмета означает потерю его силы.
415. Союз С Непарнокопытным, 3.2
#Вы обладаете нерушимой связью с выбранным непарнокопытным спутником: лошадью, ослом, мулом, зеброй или более экзотическим существом. Ничто не сможет разлучить вас, а связь со временем становится только крепче. Однако особенно дикие животные всё ещё могут отказаться от вас.
416. Союз С Эспером, 5.4
#Вы связаны священной связью с эспером — существом, обладающим экстрасенсорными и психическими способностями. Вы защищаете и усиливаете друг друга, черпая силу из вашей связи и открывая способности, которые не могли бы использовать поодиночке. Смерть одного из партнёров станет катастрофой для другого.
417. Союз С Феей, 4.1
#Вы связаны священной связью с феей, которая защищает вас и путешествует рядом с вами. Благодаря вашей дружбе вы можете синхронизироваться с ней и получать доступ к различным магическим способностям, даруемым этой связью.
418. Союз С Духом Огня, 4.9
#Вы заключили священный союз с духом огня — существом из чистого пламени, которое сражается рядом с вами и делится своей властью над огнём. Как и любой спутник, он обладает собственной волей, и при плохом обращении может выйти из-под контроля.
419. Союз С Рыбой, 3.2
#Вы связаны священной связью с рыбьим спутником, основанной на любви и взаимной заботе. Благодаря этой связи вы усиливаете друг друга, синхронизируете чувства и получаете разнообразные способности, связанные с водной средой. Смерть одного разрушительно скажется на другом.
420. Союз С Франкенштейнским Монстром, 3.9
#Вы обладаете священной связью с франкенштейнским монстром — сшитым из частей существом, которое защищает вас и сражается рядом с вами. Благодаря вашей связи вы черпаете силу друг из друга, а любовь между вами дарует разнообразные синхронизированные способности.
421. Союз С Грибом, 3.8
#Вы связаны священной связью с разумным грибом-спутником, который защищает и усиливает вас в обмен на заботу. Вместе вы становитесь сильнее и получаете доступ к различным способностям, связанным с управлением грибами и мицелием.
422. Союз С Джинном, 5.8
#Вы связаны священной связью с джинном, основанной на взаимной защите и привязанности. Благодаря этой связи вы можете синхронизироваться и усиливать друг друга. Вы также получаете доступ к различным способностям джиннов, а ваш спутник будет защищать вас всей своей немалой мощью.
423. Союз С Призраком, 3.9
#Вы связаны священной связью с призрачным спутником, который защищает вас и сражается рядом с вами. Ваша дружба усиливает вас обоих, позволяя синхронизироваться и черпать силу друг из друга в трудные времена. Связь также предоставляет доступ к разнообразным духовным способностям.
424. Союз С Призрачным Рыцарем, 4.2
#Вы связаны священной связью с призрачным рыцарем — воином в фантомных доспехах, который сражается рядом с вами. Ваша дружба усиливает вас обоих, позволяя синхронизироваться в бою и черпать силу друг из друга. Его верность непоколебима, а его клинок поражает как живых, так и мёртвых.
425. Союз С Гулем, 3.5
#Вы обладаете священной связью с гулем — нежитью, питающейся плотью. Он защищает вас и сражается рядом с вами. Несмотря на его пугающие привычки, гуль абсолютно предан вам. Вместе вы можете черпать силу друг из друга в моменты нужды.
426. Союз С Големом, 5.4
#Вы связаны священной связью с големом-партнёром — верной конструкцией, которая защищает вас и сражается рядом с вами. Связь позволяет вам синхронизироваться и открывать общие способности. Сила голема растёт вместе с глубиной вашего доверия.
427. Целительный Симбиоз, 5.6
#Внутри вас обитает симбиотическая исцеляющая сущность — воплощение восстановления или существо из чистой целительной энергии. Она дарует выдающиеся способности в области лечения, медицины и регенерации. Однако иногда сущность может пытаться захватить контроль над вашим телом, а её сила способна быть опасной даже для вас самих.
428. Союз С Гомункулом, 4.3
#Вы связаны с гомункулом через священный и любящий союз. Вы защищаете друг друга, усиливаете друг друга и синхронизируете способности в бою. Связь предоставляет разнообразные общие силы, а гомункул никогда добровольно не покинет вас.
429. Союз С Гибридом, 4.5
#Вы связаны священной связью с гибридным существом смешанного происхождения, которое сражается рядом с вами и черпает силу из вашей дружбы. Вы можете синхронизироваться с ним для получения общих способностей, однако смерть одного из вас станет тяжёлым ударом для другого.
430. Неорганический Объект, 4.2
#Вы обладаете предметом — аксессуаром, инструментом или оружием, — который предоставляет силы, связанные с неорганической материей. Предмет может быть наполнен соответствующей силой, одержим связанной сущностью или просто являться уникальным артефактом. Неопытным пользователям может быть трудно контролировать даруемую им мощь.
431. Союз С Насекомым, 3.4
#Вы связаны священной связью с насекомым-компаньоном. Будь то муравей, пчела, жук или нечто куда более экзотическое, ваш спутник предан вам и становится сильнее благодаря вашей дружбе. Вы можете синхронизировать способности и получать силы, связанные с природой насекомого.
432. Союз С Искусственным Интеллектом, 5.2
#Вы связаны священной связью с разумным искусственным интеллектом. Он сопровождает вас, помогает принимать решения, защищает вас и развивается вместе с вами. По мере укрепления связи вы открываете новые совместные способности и возможности синхронизации.
433. Союз С Кайдзю, 6.8
#Вы связаны священной связью с гигантским чудовищем. Несмотря на свои размеры и разрушительную мощь, кайдзю относится к вам с искренней преданностью. Ваша связь позволяет вам усиливать друг друга и открывать способности, связанные с природой этого исполина.
434. Союз С Рыцарем, 4.3
#Вы связаны священной связью с рыцарем-компаньоном, который поклялся защищать вас и сражаться рядом с вами. Благодаря вашей дружбе вы можете синхронизировать способности, усиливать друг друга и получать преимущества от этой нерушимой клятвы.
435. Союз С Личом, 5.7
#Вы связаны священной связью с личом — могущественным неживым магом. Несмотря на свою природу, он искренне предан вам и готов защищать вас. Благодаря вашей связи вы можете обмениваться магической силой и открывать уникальные способности.
436. Союз С Ящером, 3.5
#Вы связаны священной связью с рептилией-компаньоном. Это может быть ящерица, змей, крокодил или другое пресмыкающееся. Ваша дружба позволяет вам усиливать друг друга и получать способности, связанные с природой выбранного существа.
437. Союз С Магом, 4.8
#Вы связаны священной связью с магом-компаньоном. Вместе вы развиваетесь, обмениваетесь знаниями и усиливаете магические способности друг друга. Чем крепче ваша связь, тем более впечатляющие заклинания и эффекты становятся доступны вам обоим.
438. Магический Объект, 5.0
#Вы обладаете предметом — аксессуаром, инструментом или оружием, — наполненным чистой магией. Этот предмет предоставляет различные магические способности и может расти в силе вместе с вами. Однако для полного освоения его потенциала требуется время и практика.
439. Союз С Млекопитающим, 3.6
#Вы связаны священной связью с млекопитающим-компаньоном. Собака, кошка, медведь, волк или любое другое подходящее существо становится вашим верным спутником. Благодаря вашей дружбе вы усиливаете друг друга и открываете различные совместные способности.
440. Союз С Механическим Существом, 4.9
#Вы связаны священной связью с механическим существом. Оно защищает вас, развивается вместе с вами и может модернизироваться по мере роста вашей силы. Ваша связь позволяет синхронизировать способности и делиться энергией.
441. Союз С Медузой, 4.7
#Вы связаны священной связью с медузой-компаньоном. Благодаря этой необычной дружбе вы получаете доступ к способностям, связанным с ядом, щупальцами и морской средой. Ваш спутник остаётся абсолютно преданным вам.
442. Союз С Монстром, 4.5
#Вы связаны священной связью с монстром-компаньоном. Каким бы пугающим ни выглядело это существо, оно относится к вам с искренней привязанностью и защищает вас. Вместе вы становитесь сильнее и открываете новые совместные способности.
443. Союз С Нежитью, 4.2
#Вы связаны священной связью с разумным неживым существом. Несмотря на свою мёртвую природу, ваш спутник остаётся верным союзником. Ваша связь позволяет обмениваться силой и получать способности, связанные с нежитью.
444. Союз С Осьминогом, 3.9
#Вы связаны священной связью с разумным осьминогом-компаньоном. Благодаря его интеллекту и гибкости вы получаете разнообразные преимущества, связанные с морем, маскировкой и использованием щупалец.
445. Союз С Паразитом, 4.6
#Вы связаны священной связью с паразитическим существом, которое живёт рядом с вами или внутри вас. В отличие от обычных паразитов, оно заботится о вашем благополучии и помогает вам. Вместе вы можете использовать различные симбиотические способности.
446. Союз С Фениксом, 6.0
#Вы связаны священной связью с фениксом. Его бессмертная природа и власть над пламенем частично передаются вам через вашу дружбу. Феникс будет защищать вас, а ваша связь станет источником огромной силы.
447. Союз С Растением, 3.4
#Вы связаны священной связью с разумным растением-компаньоном. Вместе вы получаете способности, связанные с флорой, ростом и жизненной энергией. Ваш спутник помогает вам и становится сильнее благодаря вашей заботе.
448. Союз С Псиоником, 5.1
#Вы связаны священной связью с существом, обладающим мощными психическими способностями. Благодаря вашей дружбе вы можете синхронизировать разум, обмениваться мыслями и использовать разнообразные экстрасенсорные способности.
449. Союз С Роботом, 4.6
#Вы связаны священной связью с роботом-компаньоном. Он помогает вам, защищает вас и развивается вместе с вами. По мере укрепления вашей связи открываются новые возможности модернизации и синхронизации.
450. Союз С Морским Существом, 3.8
#Вы связаны священной связью с морским существом. Благодаря этой связи вы получаете способности, связанные с водой и океаном, а также надёжного спутника, готового защищать вас.
451. Союз С Тенью, 4.8
#Вы связаны священной связью с живой тенью. Она сопровождает вас повсюду, защищает вас и помогает в опасных ситуациях. Благодаря вашей связи вы можете использовать разнообразные теневые способности.
452. Союз С Слизью, 4.1
#Вы связаны священной связью со слизью-компаньоном. Несмотря на необычный внешний вид, это существо искренне предано вам. Вместе вы получаете способности, связанные с изменением формы, поглощением и адаптацией.
453. Союз С Духом, 4.7
#Вы связаны священной связью с духовным существом. Оно сопровождает вас, защищает вас и помогает в путешествии. Ваша дружба открывает доступ к различным сверхъестественным способностям.
454. Союз С Пауком, 3.8
#Вы связаны священной связью с пауком-компаньоном. Благодаря этой связи вы можете использовать способности, связанные с паутиной, ядом и восприятием окружающей среды. Ваш спутник остаётся абсолютно преданным вам.
455. Союз С Звёздным Существом, 6.2
#Вы связаны священной связью с существом, пришедшим из звёздных глубин космоса. Его природа может быть невероятно странной, но ваша дружба позволяет вам получать доступ к космическим способностям и необычным знаниям.
456. Союз С Сверхсолдатом, 5.0
#Вы связаны священной связью с генетически или технологически улучшенным воином. Он защищает вас и сражается рядом с вами, а ваша связь позволяет вам обоим становиться сильнее.
457. Союз С Мечом, 4.4
#Вы связаны священной связью с разумным мечом. Он может общаться с вами, помогать в бою и делиться своими знаниями. По мере укрепления вашей связи меч раскрывает новые способности.
458. Союз С Симбиотом, 5.8
#Вы связаны священной связью с симбиотическим существом. В отличие от обычных отношений носителя и симбионта, ваша связь основана на взаимном доверии и любви. Вместе вы открываете множество мощных способностей и усиливаете друг друга.
459. Союз С Техноорганическим Существом, 5.4
#Вы связаны священной связью с существом, сочетающим в себе органическую и механическую природу. Благодаря вашей дружбе вы можете использовать как биологические, так и технологические способности.
460. Союз С Громовой Птицей, 5.7
#Вы связаны священной связью с Громовой Птицей. Этот величественный спутник обладает властью над бурями, ветром и молниями. Благодаря вашей дружбе вы получаете доступ к его силам, а он становится ещё могущественнее рядом с вами.
461. Союз С Деревом, 3.6
#Вы связаны священной связью с разумным деревом. Оно защищает вас, делится своей жизненной силой и становится сильнее благодаря вашей заботе. Вместе вы получаете способности, связанные с природой, ростом растений и жизненной энергией.
462. Союз С Единорогом, 5.5
#Вы связаны священной связью с единорогом. Это благородное магическое существо защищает вас и сражается рядом с вами. Благодаря вашей связи вы получаете доступ к целительным и магическим способностям, а также к различным благословениям.
463. Союз С Вампиром, 5.2
#Вы связаны священной связью с вампиром-компаньоном. Несмотря на свою тёмную природу, он предан вам и готов защищать вас. Ваша связь позволяет делиться силой и использовать различные способности, связанные с вампиризмом.
464. Союз С Транспортным Средством, 4.8
#Вы связаны священной связью с разумным транспортным средством. Это может быть автомобиль, корабль, самолёт или что-то ещё более необычное. Ваш спутник развивается вместе с вами и способен открывать новые функции и возможности.
465. Союз С Воином, 4.5
#Вы связаны священной связью с воином-компаньоном. Он сражается рядом с вами, защищает вас и становится сильнее благодаря вашей дружбе. Вместе вы можете синхронизировать боевые навыки и усиливать друг друга.
466. Союз С Оружием, 4.7
#Вы связаны священной связью с разумным оружием. Оно помогает вам в бою, общается с вами и развивается по мере укрепления вашей связи. Со временем оружие раскрывает новые способности и становится значительно сильнее.
467. Союз С Оборотнем, 5.1
#Вы связаны священной связью с оборотнем. Ваша дружба позволяет вам делиться силой и использовать различные способности, связанные с его звериной природой. Оборотень остаётся вашим преданным союзником.
468. Союз С Китом, 4.2
#Вы связаны священной связью с китом-компаньоном. Благодаря вашей связи вы получаете способности, связанные с морем, эхолокацией и огромной жизненной силой. Кит защищает вас и остаётся верным другом.
469. Союз С Ведьмой, 4.9
#Вы связаны священной связью с ведьмой-компаньоном. Она помогает вам изучать магию, защищает вас и становится сильнее вместе с вами. Ваша дружба открывает доступ к новым магическим способностям.
470. Союз С Червём, 3.7
#Вы связаны священной связью с разумным червём. Несмотря на скромный внешний вид, этот спутник способен помочь вам способами, недоступными большинству существ. Вместе вы открываете способности, связанные с его природой.
471. Союз С Виверной, 5.6
#Вы связаны священной связью с виверной. Этот крылатый хищник защищает вас и сражается рядом с вами. Благодаря вашей дружбе вы получаете способности, связанные с полётом, охотой и драконьей природой.
472. Союз С Зомби, 3.8
#Вы связаны священной связью с разумным зомби. Несмотря на свою неживую природу, он остаётся вашим верным спутником и защитником. Вместе вы можете использовать различные способности, связанные с нежитью.
473. Союз С Неизвестным Существом, 5.9
#Вы связаны священной связью с существом, которое невозможно однозначно классифицировать. Его природа может быть странной, противоречивой или совершенно уникальной. Благодаря вашей связи вы получаете доступ к необычным и трудно предсказуемым способностям.
474. Союз С Абстрактной Сущностью, 6.8
#Вы связаны священной связью с воплощением идеи, концепции или абстрактного принципа. Такая связь открывает доступ к крайне необычным силам, связанным с природой этой концепции.
475. Союз С Ангелом, 6.1
#Вы связаны священной связью с ангелом. Он защищает вас, направляет вас и делится своей небесной силой. Благодаря вашей дружбе вы получаете различные священные способности и благословения.
476. Союз С Апокалиптическим Существом, 7.4
#Вы связаны священной связью с существом, способным принести конец цивилизации или даже миру. Несмотря на свою разрушительную природу, оно относится к вам с искренней преданностью и защищает вас всей своей мощью.
477. Союз С Искусственной Формой Жизни, 5.3
#Вы связаны священной связью с искусственно созданным живым существом. Оно развивается вместе с вами, защищает вас и открывает новые способности по мере укрепления вашей связи.
478. Союз С Птицей, 3.5
#Вы связаны священной связью с птицей-компаньоном. Благодаря вашей дружбе вы получаете способности, связанные с полётом, восприятием и особенностями выбранного вида птиц.
479. Союз С Кошкой, 3.7
#Вы связаны священной связью с кошкой-компаньоном. Она сопровождает вас в путешествиях, защищает вас и становится сильнее благодаря вашей дружбе. Вместе вы открываете различные способности, связанные с кошачьей природой.
480. Союз С Небесным Телом, 7.2
#Вы связаны священной связью с планетой, звездой, луной или иным небесным объектом. Эта невероятная связь позволяет вам получать силу космического масштаба и использовать способности, связанные с природой выбранного небесного тела.
481. Союз С Химерой, 5.7
#Вы связаны священной связью с химерой — существом, состоящим из частей разных животных или монстров. Благодаря вашей связи вы можете использовать широкий спектр способностей, связанных с её смешанной природой.
482. Союз С Коллективным Разумом, 6.4
#Вы связаны священной связью с коллективным разумом. Это может быть рой, сеть сознаний или иная форма объединённого интеллекта. Благодаря вашей связи вы получаете доступ к его знаниям и возможностям.
483. Союз С Компьютером, 4.4
#Вы связаны священной связью с разумным компьютером. Он помогает вам анализировать информацию, решать задачи и развиваться. По мере укрепления связи его вычислительные возможности растут.
484. Союз С Конструктом, 4.9
#Вы связаны священной связью с искусственно созданным существом или магической конструкцией. Ваш спутник развивается вместе с вами и открывает новые способности по мере роста вашей дружбы.
485. Союз С Космическим Существом, 6.7
#Вы связаны священной связью с существом из глубин космоса. Его природа может быть невероятно странной, но ваша связь позволяет вам получать доступ к необычным космическим силам.
486. Союз С Крабом, 3.3
#Вы связаны священной связью с крабом-компаньоном. Этот бронированный спутник остаётся верным вам и помогает в трудные времена. Вместе вы получаете способности, связанные с его природой.
487. Союз С Демигуманом, 4.5
#Вы связаны священной связью с гуманоидным существом, обладающим чертами животных или иных существ. Благодаря вашей дружбе вы усиливаете друг друга и получаете доступ к разнообразным способностям.
